product,producttype,crossplantstatus,crossplantstatusvaliditydate,creationdate,createdbyuser,lastchangedate,lastchangedatetime,ismarkedfordeletion,productoldid,grossweight,weightunit,netweight,productgroup,baseunit,division,industrysector
S8907367028192,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:39.000Z,False,ABC-WEB-2871,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367029021,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:39.000Z,False,ABC-WEB-2954,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367029038,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:39.000Z,False,ABC-WEB-2955,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367035664,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:39.000Z,False,ABC-WEB-3456,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367035961,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:39.000Z,False,ABC-WEB-3483,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367035978,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:39.000Z,False,ABC-WEB-3484,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367035985,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:39.000Z,False,ABC-WEB-3485,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367035992,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:39.000Z,False,ABC-WEB-3486,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367036722,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:45.000Z,False,ABC-WEB-3570,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367037156,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:45.000Z,False,ABC-WEB-3612,0.11,KG,0.1,ZFG1001,PC,1,M
S8907367038108,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:45.000Z,False,ABC-WEB-3711,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367038122,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:45.000Z,False,ABC-WEB-3713,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367039280,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:45.000Z,False,ABC-WEB-3803,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367041993,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:51.000Z,False,ABC-WEB-4052,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367042006,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:51.000Z,False,ABC-WEB-4053,0.012,KG,0.01,ZFG1001,PC,1,M
B8907367022787,ZF01,,nan,2024-12-12T00:00:00.000Z,USER108,2025-09-18T00:00:00.000Z,2025-09-18T11:48:38.000Z,False,ABC-WEB-2319,0.11,KG,0.1,ZFG1001,PC,1,M
B8907367024125,ZF01,,nan,2024-12-12T00:00:00.000Z,USER108,2025-09-18T00:00:00.000Z,2025-09-18T11:48:48.000Z,False,ABC-WEB-2449,0.11,KG,0.1,ZFG1001,PC,1,M
B8907367028406,ZF01,,nan,2024-12-12T00:00:00.000Z,USER108,2025-09-18T00:00:00.000Z,2025-09-18T11:49:10.000Z,False,ABC-WEB-2856,0.11,KG,0.1,ZFG1001,PC,1,M
B8907367039570,ZF01,,nan,2024-12-12T00:00:00.000Z,USER108,2025-09-18T00:00:00.000Z,2025-09-18T11:47:08.000Z,False,ABC-WEB-3816,0.11,KG,0.1,ZFG1001,PC,1,M
B8907367041603,ZF01,,nan,2024-12-12T00:00:00.000Z,USER108,2025-09-18T00:00:00.000Z,2025-09-18T11:47:15.000Z,False,ABC-WEB-4018,0.11,KG,0.1,ZFG1001,PC,1,M
S8907367002499,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:08:33.000Z,False,ABC-WEB-243,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367003342,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:23:55.000Z,False,ABC-WEB-283,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367015277,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:24.000Z,False,ABC-WEB-1167,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367020042,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:24.000Z,False,ABC-WEB-2091,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367020783,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:24.000Z,False,ABC-WEB-2263,0.11,KG,0.1,ZFG1001,PC,1,M
S8907367020790,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:24.000Z,False,ABC-WEB-2265,0.11,KG,0.1,ZFG1001,PC,1,M
S8907367023128,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:33.000Z,False,ABC-WEB-2450,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367023135,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:33.000Z,False,ABC-WEB-2451,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367023142,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:33.000Z,False,ABC-WEB-2452,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367023159,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:33.000Z,False,ABC-WEB-2453,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367028659,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:39.000Z,False,ABC-WEB-2910,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367031635,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:39.000Z,False,ABC-WEB-3125,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367039303,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:45.000Z,False,ABC-WEB-3888,0.012,KG,0.01,ZFG1001,PC,1,M
S8907367759287,ZFS1,,nan,2024-11-26T00:00:00.000Z,USER108,2025-09-16T00:00:00.000Z,2025-09-16T13:07:51.000Z,False,TWC-WEB-011,0.012,KG,0.01,ZFG1001,PC,1,M
